Movie,"Release
Date",Theatrical Distributor,MPAA/Rating,Gross,Tickets Sold,Genre
Te doy mis ojos,17-Mar-06,New Yorker,Not Rated,"$25,578 ","3,905",Drama
Beyond Honor,17-Mar-06,International Fil�,Not Rated,"$6,437 ",982,Drama
Mirage,17-Mar-06,Picture This Ente�,Not Rated,"$1,511 ",230,Drama
Sommersturm,17-Mar-06,Regent Releasing,R,$455 ,66,Drama
The Zodiac,17-Mar-06,ThinkFilm,R,"$45,148 ","6,892",Thriller/Suspense
American Gun,22-Mar-06,IFC Films,R,"$24,098 ","3,679",Drama
Larry the Cable Guy: Health�,24-Mar-06,Lionsgate,PG-13,"$15,680,099 ","2,393,908",Comedy
Lonesome Jim,24-Mar-06,IFC Films,R,"$154,187 ","23,540",Comedy
L'Enfant,24-Mar-06,Sony Pictures Cla�,R,"$651,941 ","99,532",Drama
Being Cyrus,24-Mar-06,Eros Entertainment,Not Rated,"$87,728 ","13,393",Drama
Stoned,24-Mar-06,Screen Media Films,R,"$38,922 ","5,942",Drama
Stay Alive,24-Mar-06,Walt Disney,PG-13,"$23,086,480 ","3,524,653",Horror
Inside Man,24-Mar-06,Universal,R,"$88,634,237 ","13,531,944",Thriller/Suspense
Drawing Restraint 9,29-Mar-06,IFC Films,Not Rated,"$234,743 ","35,838",Drama
Ice Age: The Meltdown,31-Mar-06,20th Century Fox,PG,"$195,330,621 ","29,821,468",Adventure
ATL,31-Mar-06,Warner Bros.,PG-13,"$21,170,563 ","3,232,147",Comedy
Brick,31-Mar-06,Focus/Rogue Pictures,R,"$2,075,743 ","316,907",Drama
Swimmers,31-Mar-06,Skouras,Not Rated,"$34,812 ","5,314",Drama
Jazireh ahani,31-Mar-06,Kino International,Not Rated,"$27,177 ","4,149",Drama
Slither,31-Mar-06,Universal,R,"$7,802,450 ","1,191,213",Horror
Basic Instinct 2,31-Mar-06,Sony Pictures,R,"$5,946,136 ","907,807",Thriller/Suspense
Room,6-Apr-06,The 7th Floor,Not Rated,"$5,228 ",798,Drama
The Benchwarmers,7-Apr-06,Sony Pictures,PG-13,"$59,843,754 ","9,136,450",Comedy
Friends with Money,7-Apr-06,Sony Pictures Cla�,R,"$13,368,437 ","2,040,982",Comedy
When Do We Eat?,7-Apr-06,ThinkFilm,R,"$431,513 ","65,879",Comedy
I Am a Sex Addict,7-Apr-06,IFC First Take,Not Rated,"$115,694 ","17,663",Comedy
Kalamazoo?,7-Apr-06,Reel Source,PG-13,"$53,609 ","8,184",Comedy
Simon,7-Apr-06,Strand,Not Rated,"$4,055 ",619,Comedy
The Surfer King,7-Apr-06,Movin' Picture St�,PG-13,"$1,990 ",303,Comedy
Take the Lead,7-Apr-06,New Line,PG-13,"$34,742,066 ","5,304,132",Drama
On a Clear Day,7-Apr-06,Focus/Rogue Pictures,PG-13,"$186,912 ","28,536",Drama
Free Zone,7-Apr-06,New Yorker,Not Rated,"$32,381 ","4,943",Drama
4,7-Apr-06,Leisure Time Feat�,Not Rated,"$18,926 ","2,889",Drama
White Rainbow,7-Apr-06,Rocky Mountain Pi�,PG-13,"$4,180 ",638,Drama
White Rainbow,7-Apr-06,Rocky Mountain Pi�,PG-13,"$5,808 ",844,Drama
Lucky Number Slevin,7-Apr-06,MGM,R,"$22,495,466 ","3,434,422",Thriller/Suspense
The Wild,14-Apr-06,Walt Disney,G,"$37,384,046 ","5,707,487",Adventure
Scary Movie 4,14-Apr-06,Weinstein/Dimension,PG-13,"$90,710,620 ","13,848,949",Comedy
Kinky Boots,14-Apr-06,Miramax,PG-13,"$1,822,428 ","278,233",Comedy
Preaching to the Choir,14-Apr-06,Innovation Film G�,PG-13,"$405,191 ","61,861",Comedy
Mozart and the Whale,14-Apr-06,,Not Rated,"$27,000 ","4,122",Comedy
Blackballed: The Bobby Duke�,14-Apr-06,The 7th Floor,Not Rated,"$9,528 ","1,454",Comedy
La mujer de mi hermano,14-Apr-06,Lionsgate,R,"$2,808,241 ","428,739",Drama
The Notorious Bettie Page,14-Apr-06,Picturehouse,R,"$1,415,082 ","216,043",Drama
Humko Deewana Kar Gaye,14-Apr-06,UTV Communications,Not Rated,"$250,083 ","38,180",Drama
Kekexili,14-Apr-06,IDP/Goldwyn/Roadside,PG-13,"$143,383 ","21,890",Drama
Look Both Ways,14-Apr-06,Kino International,PG-13,"$105,067 ","16,040",Drama
Nathalie...,14-Apr-06,Koch Lorber Films,Not Rated,"$31,008 ","4,734",Drama
Hard Candy,14-Apr-06,Lionsgate,R,"$1,024,640 ","156,433",Horror
Abominable,14-Apr-06,Freestyle Releasing,R,"$1,810 ",276,Horror
The Celestine Prophecy,19-Apr-06,Ram Entertainment,PG,"$1,214,661 ","185,444",Adventure
In Her Line of Fire,21-Apr-06,Regent Releasing,R,$884 ,134,Action
Pyare Mohan,21-Apr-06,Eros Entertainment,Not Rated,"$150,198 ","22,930",Comedy
L� cao di,21-Apr-06,First Run Features,Not Rated,"$70,940 ","10,830",Comedy
L� cao di,21-Apr-06,First Run Features,Not Rated,$283 ,41,Comedy
Somersault,21-Apr-06,Magnolia Pictures,Not Rated,"$92,214 ","14,078",Drama
Standing Still,21-Apr-06,Freestyle Releasing,R,"$30,142 ","4,601",Drama
